Year,hwtotKill,hwtotKillperCap,hwtotKillperVMT,chtotKill,chtotKillperCap,chtotKillperVMT,petotKill,petotKillperCap,petotKillperVMT,chetotKill,chetotKillperCap,chetotKillperVMT,dintotKill,dintotKillperCap,dintotKillperVMT,pgtotKill,pgtotKillperCap,pgtotKillperVMT
2006,374,133,178,58,39,38,50,22,27,29,48,63,1253,396,582,164,112,110
2007,385,136,164,50,41,32,48,20,40,23,46,85,1149,369,559,163,95,109
2008,299,103,139,44,30,32,37,18,26,15,40,57,1035,332,541,149,97,93
2009,287,101,125,49,41,29,29,14,17,14,33,61,975,334,428,114,91,87
2010,263,91,113,36,32,29,31,16,14,16,30,59,955,329,452,120,94,95
2011,295,107,133,51,40,31,33,16,23,13,33,55,922,297,443,127,94,84
2012,293,91,133,54,40,17,29,18,22,12,32,69,915,274,433,133,96,84
2013,269,98,119,37,31,21,27,24,19,27,31,52,829,240,423,111,78,76
2014,253,86,111,33,23,24,27,18,23,16,33,56,708,200,319,73,48,54
2015,288,105,122,46,38,31,31,19,18,18,26,61,788,214,389,117,67,66
2016,261,94,113,44,38,26,20,22,19,11,27,54,1013,200,602,174,55,59
2017,299,123,121,35,38,32,33,18,36,17,35,55,1015,249,588,165,55,98
2018,299,117,125,40,31,37,41,13,33,16,31,57,1037,223,642,174,52,85
2019,255,92,103,35,25,25,24,20,30,12,24,60,1367,421,639,201,105,124
2020,334,98,124,43,31,25,28,26,26,16,27,112,1457,466,646,147,105,146
2021,321,122,118,37,25,33,31,20,38,26,30,81,1539,531,659,163,144,159
2022,320,118,126,44,44,28,26,17,32,14,39,76,1522,587,664,199,206,155
2023,292,101,123,43,29,25,28,18,28,19,34,68,1169,216,629,175,76,44
